,district,topic0,topic1,topic2,topic3,topic4,topic5,topic6
0,01,0.05244619399309158,0.09209071099758148,0.09560088068246841,0.07648424059152603,0.3672064542770386,0.1689460277557373,0.14722543954849243
1,02,0.04179138317704201,0.048468876630067825,0.05432424321770668,0.044436581432819366,0.6530523300170898,0.07701994478702545,0.08090664446353912
2,03,0.05238988250494003,0.07372815907001495,0.09706439822912216,0.16956758499145508,0.4036467671394348,0.08903903514146805,0.11456415802240372
3,04,0.09407471865415573,0.1310766339302063,0.07694750279188156,0.20856143534183502,0.27622124552726746,0.10695861279964447,0.10615983605384827
4,05,0.0802869200706482,0.14233054220676422,0.0966355949640274,0.07066331803798676,0.387016624212265,0.10426432639360428,0.11880265176296234
5,06,0.05983179062604904,0.04977421090006828,0.09279441088438034,0.13154597580432892,0.3390595018863678,0.19269143044948578,0.13430272042751312
6,07,0.07991046458482742,0.06284128129482269,0.07929032295942307,0.0862816721200943,0.40750911831855774,0.08738246560096741,0.19678470492362976
7,08,0.08472195267677307,0.09078209847211838,0.12890838086605072,0.16978344321250916,0.34945106506347656,0.07808653265237808,0.09826654940843582
8,09,0.04717417061328888,0.061592068523168564,0.10258471220731735,0.12249479442834854,0.45518064498901367,0.06906934082508087,0.1419042944908142
9,10,0.050088074058294296,0.06861558556556702,0.10829006135463715,0.18335996568202972,0.27910465002059937,0.2084091454744339,0.10213246941566467
