,district,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
0,01,0.047270409762859344,0.20795410871505737,0.10557273775339127,0.07796363532543182,0.21521024405956268,0.0692853108048439,0.1925518959760666,0.08419169485569
1,02,0.05316690355539322,0.10703448951244354,0.06516005098819733,0.038423776626586914,0.06848717480897903,0.05534838140010834,0.5537816286087036,0.058597564697265625
2,03,0.06979791820049286,0.16301767528057098,0.07783307135105133,0.171519473195076,0.1491188257932663,0.09729153662919998,0.18449780344963074,0.08692370355129242
3,04,0.05805186927318573,0.24761980772018433,0.07051464170217514,0.08567967265844345,0.1124352216720581,0.07601385563611984,0.14537924528121948,0.20430567860603333
4,05,0.08000929653644562,0.15788927674293518,0.09943628311157227,0.06496238708496094,0.13761866092681885,0.10922177135944366,0.23933948576450348,0.1115228682756424
5,06,0.07510936260223389,0.1277158111333847,0.18137198686599731,0.08471094071865082,0.2084169238805771,0.08412843942642212,0.18610718846321106,0.052439384162425995
6,07,0.14680249989032745,0.1140616163611412,0.12743127346038818,0.0728023573756218,0.1578178107738495,0.05241493135690689,0.2106444537639618,0.1180250272154808
7,08,0.08867833763360977,0.15030664205551147,0.07520827651023865,0.10653940588235855,0.1634681224822998,0.11254088580608368,0.1758827269077301,0.12737560272216797
8,09,0.056885577738285065,0.15848062932491302,0.09498469531536102,0.09026633948087692,0.14278165996074677,0.0605107806622982,0.31735435128211975,0.07873598486185074
9,10,0.04778185859322548,0.2500852346420288,0.08193766325712204,0.07549714297056198,0.2181069701910019,0.10562050342559814,0.13415072858333588,0.08681990206241608
