,district,month,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
0,01,06,0.03857196867465973,0.29936373233795166,0.05883031710982323,0.0593196377158165,0.2313186377286911,0.06985785812139511,0.1797480434179306,0.06298980861902237
1,02,06,0.03485940769314766,0.07845909893512726,0.07766150683164597,0.04878060519695282,0.07679707556962967,0.07553883641958237,0.5351567268371582,0.07274676114320755
2,03,06,0.027336804196238518,0.1574675440788269,0.0637272372841835,0.28704723715782166,0.0959378331899643,0.19513057172298431,0.13055408000946045,0.04279867187142372
3,04,06,0.0,0.3542596101760864,0.0,0.07640927284955978,0.08813788741827011,0.10118144005537033,0.15727289021015167,0.21302008628845215
4,05,06,0.11219295859336853,0.28299012780189514,0.03998769074678421,0.10757522284984589,0.19172799587249756,0.10279332846403122,0.13837705552577972,0.024355603381991386
5,06,06,0.05191861093044281,0.19908326864242554,0.1326920986175537,0.13941730558872223,0.24331586062908173,0.06752951443195343,0.1657690852880478,0.0
6,07,06,0.5553278923034668,0.031246459111571312,0.022968905046582222,0.056355055421590805,0.10820876806974411,0.01855081506073475,0.06094607710838318,0.14639601111412048
7,08,06,0.4607042372226715,0.0,0.0,0.0,0.28273463249206543,0.0364699549973011,0.0803733691573143,0.13636311888694763
8,09,06,0.0,0.08568556606769562,0.0,0.16615740954875946,0.24925334751605988,0.4032772481441498,0.0,0.08653473109006882
9,10,06,0.05614275857806206,0.2197674810886383,0.08390092849731445,0.05113847181200981,0.20505815744400024,0.10531730949878693,0.17825201153755188,0.10042291134595871
10,01,07,0.046110402792692184,0.17301668226718903,0.1601974368095398,0.06485138833522797,0.2228580266237259,0.07512667775154114,0.18378856778144836,0.07405081391334534
11,02,07,0.04248029738664627,0.1230538934469223,0.0576634481549263,0.03085085190832615,0.062165308743715286,0.06973941624164581,0.5593336224555969,0.0547131672501564
12,03,07,0.09033965319395065,0.2095310240983963,0.07566370815038681,0.17443086206912994,0.11359836906194687,0.10807085782289505,0.11650708317756653,0.11185846477746964
13,04,07,0.0,0.37497928738594055,0.04039556905627251,0.19518259167671204,0.13664349913597107,0.045433253049850464,0.019143229350447655,0.17838022112846375
14,05,07,0.12055600434541702,0.13379785418510437,0.036263398826122284,0.0,0.10284423828125,0.11955582350492477,0.24477998912334442,0.23502962291240692
